date,symbol,open,high,low,close,volume,data_source,fetch_timestamp,daily_return,volatility_20d,sma_20,sma_50
2023-01-01,MSFT,249.30898959629863,253.38193493253115,246.24825915871463,250.0,76728215,simulated,2025-08-20 16:55:58.540384,,,,
2023-01-02,MSFT,250.58911151388477,254.4142094150324,242.5996259272649,249.4336784941441,63440658,simulated,2025-08-20 16:55:58.540384,-0.002265286023423685,,,
2023-01-03,MSFT,251.55627975084766,257.435396160496,249.03943647823687,252.7895020249302,51886947,simulated,2025-08-20 16:55:58.540384,0.013453770762013928,,,
2023-01-04,MSFT,261.8405954333356,267.990645993895,252.92569036093423,260.6160159553524,95111483,simulated,2025-08-20 16:55:58.540384,0.030960597128160572,,,
2023-01-05,MSFT,258.3402234873306,264.00211161914183,251.85489898993978,259.52584157047215,85174694,simulated,2025-08-20 16:55:58.540384,-0.004183067494466619,,,
2023-01-06,MSFT,259.45118416140707,264.02566449774184,252.3597818195359,258.4403126753577,68532681,simulated,2025-08-20 16:55:58.540384,-0.004182739138983593,,,
2023-01-07,MSFT,266.8060656796792,272.7724042977956,261.3369498187974,266.7321779081086,27667857,simulated,2025-08-20 16:55:58.540384,0.032084256310147774,,,
2023-01-08,MSFT,272.2952698492019,273.7400914358554,267.00573339896476,270.9595347312482,91537554,simulated,2025-08-20 16:55:58.540384,0.015848694583058265,,,
2023-01-09,MSFT,267.4062703555203,274.80022212373143,264.16430896861226,268.55084327499037,81279200,simulated,2025-08-20 16:55:58.540384,-0.008889487718699018,,,
2023-01-10,MSFT,271.74548565648246,275.28229860667597,265.8733778317408,271.5992178412744,95998646,simulated,2025-08-20 16:55:58.540384,0.011351200871719369,,,
2023-01-11,MSFT,270.4811854713426,277.0846607630925,262.614510651261,269.2177397921616,70526894,simulated,2025-08-20 16:55:58.540384,-0.0087683538562493,,,
2023-01-12,MSFT,266.90632980155044,270.3065385773611,264.1609012480213,266.84469442985477,90805040,simulated,2025-08-20 16:55:58.540384,-0.00881459507140514,,,
2023-01-13,MSFT,268.6165807522012,273.17675784363007,262.5079888508089,268.2694437454615,97840866,simulated,2025-08-20 16:55:58.540384,0.005339245431320583,,,
2023-01-14,MSFT,258.64338784703784,261.16010678639265,252.72434699968628,258.1380859280637,37789600,simulated,2025-08-20 16:55:58.540384,-0.037765604893155946,,,
2023-01-15,MSFT,249.248457991592,256.82708082952354,242.69699142243988,249.36181521766574,37644180,simulated,2025-08-20 16:55:58.540384,-0.03399835665026063,,,
2023-01-16,MSFT,246.99689846927464,251.62670945398042,243.203076208779,246.68223534595887,28437712,simulated,2025-08-20 16:55:58.540384,-0.010745750584819413,,,
2023-01-17,MSFT,242.01250684829532,247.10609852172053,237.90913568044502,241.8086275677909,92892046,simulated,2025-08-20 16:55:58.540384,-0.019756622406688518,,,
2023-01-18,MSFT,244.42590251890655,246.21037347869517,237.2207317126217,243.44928620580882,69375650,simulated,2025-08-20 16:55:58.540384,0.0067849466519054324,,,
2023-01-19,MSFT,238.06279026760708,245.12841188278054,232.36938725200062,239.14985458804517,77312219,simulated,2025-08-20 16:55:58.540384,-0.01766048151042421,,,
2023-01-20,MSFT,232.0050929264841,235.8156502671751,228.70347100315178,232.51438501916934,86346143,simulated,2025-08-20 16:55:58.540384,-0.027746074026705814,,256.20416461579293,
2023-01-21,MSFT,240.52482442634633,246.1415100481347,235.39734690787228,239.44633065487687,75666186,simulated,2025-08-20 16:55:58.540384,0.029812975378431084,0.02036397784048091,255.67648114853677,
